"","Year","Type.of.Land.Use","Region","value"
"1737","1993","Hay","West",79.5
"1738","1994","Hay","West",76.7
"1739","1995","Hay","West",67.2
"1740","1996","Hay","West",74.1
"1741","1997","Hay","West",61.7
"1742","1998","Hay","West",50.1
"1743","1999","Hay","West",40.4
"1744","2000","Hay","West",43.7
"1745","2001","Hay","West",43.7
"1746","2002","Hay","West",35.2
"1747","2003","Hay","West",29.3
"1748","2004","Hay","West",32.1
"1749","2005","Hay","West",44.5
"1750","2006","Hay","West",48.3
"1751","2007","Hay","West",42.7
"1752","1991","Grass silage","West",97.3
"1753","1992","Grass silage","West",108.8
"1754","1993","Grass silage","West",122.9
"1755","1994","Grass silage","West",128.5
"1756","1995","Grass silage","West",132.1
"1757","1996","Grass silage","West",135.4
"1758","1997","Grass silage","West",135.6
"1759","1998","Grass silage","West",136.5
"1760","1999","Grass silage","West",146.3
"1761","2000","Grass silage","West",173.4
"1762","2001","Grass silage","West",175.1
"1763","2002","Grass silage","West",167.2
"1764","2003","Grass silage","West",166.9
"1765","2004","Grass silage","West",169
"1766","2005","Grass silage","West",219.2
"1767","2006","Grass silage","West",224.5
"1768","2007","Grass silage","West",175.7
"1769","1991","Total crops, fruit and horticulture","West",10.1
"1770","1992","Total crops, fruit and horticulture","West",10.1
"1771","1993","Total crops, fruit and horticulture","West",9.1
"1772","1994","Total crops, fruit and horticulture","West",8.4
"1773","1995","Total crops, fruit and horticulture","West",9.9
"1774","1996","Total crops, fruit and horticulture","West",9.1
"1775","1997","Total crops, fruit and horticulture","West",10.6
"1776","1998","Total crops, fruit and horticulture","West",9.2
"1777","1999","Total crops, fruit and horticulture","West",8.5
"1778","2000","Total crops, fruit and horticulture","West",13.4
"1779","2001","Total crops, fruit and horticulture","West",14.1
"1780","2002","Total crops, fruit and horticulture","West",12.6
"1781","2003","Total crops, fruit and horticulture","West",15.4
"1782","2004","Total crops, fruit and horticulture","West",12
"1783","2005","Total crops, fruit and horticulture","West",12.6
"1784","2006","Total crops, fruit and horticulture","West",10.6
"1785","2007","Total crops, fruit and horticulture","West",11.9
"1786","1991","Beans and peas","West",0
"1787","1992","Beans and peas","West",0
"1788","1993","Beans and peas","West",0
"1789","1994","Beans and peas","West",0
"1790","1995","Beans and peas","West",0
"1791","1996","Beans and peas","West",0
"1792","1997","Beans and peas","West",0
"1793","1998","Beans and peas","West",0
"1794","1999","Beans and peas","West",0
"1795","2000","Beans and peas","West",0
"1796","2001","Beans and peas","West",0
"1797","2002","Beans and peas","West",0
"1798","2003","Beans and peas","West",0
"1799","2004","Beans and peas","West",0
"1800","2005","Beans and peas","West",0.1
"1801","2006","Beans and peas","West",0.2
"1802","2007","Beans and peas","West",0.2
"1803","1991","Oilseed rape","West",0
"1804","1992","Oilseed rape","West",0
"1805","1993","Oilseed rape","West",0
"1806","1994","Oilseed rape","West",0
"1807","1995","Oilseed rape","West",0.1
"1808","1996","Oilseed rape","West",0
"1809","1997","Oilseed rape","West",0.1
"1810","1998","Oilseed rape","West",0
"1811","1999","Oilseed rape","West",0
"1812","2000","Oilseed rape","West",0.3
"1813","2001","Oilseed rape","West",0.3
"1814","2002","Oilseed rape","West",0.3
"1815","2003","Oilseed rape","West",0.1
"1816","2004","Oilseed rape","West",0.1
"1817","2005","Oilseed rape","West",0.2
"1818","2006","Oilseed rape","West",0.2
"1819","2007","Oilseed rape","West",0.1
"1820","1991","Arable silage","West",NA
"1821","1992","Arable silage","West",NA
"1822","1993","Arable silage","West",NA
"1823","1994","Arable silage","West",NA
"1824","1995","Arable silage","West",NA
"1825","1996","Arable silage","West",NA
"1826","1997","Arable silage","West",NA
"1827","1998","Arable silage","West",NA
"1828","1999","Arable silage","West",NA
"1829","2000","Arable silage","West",5.3
"1830","2001","Arable silage","West",5.1
"1831","2002","Arable silage","West",4.3
"1832","2003","Arable silage","West",7.4
"1833","2004","Arable silage","West",4.9
"1834","2005","Arable silage","West",4.9
"1835","2006","Arable silage","West",2.9
"1836","2007","Arable silage","West",4.3
"1837","1991","Maize silage","West",NA
"1838","1992","Maize silage","West",NA
"1839","1993","Maize silage","West",NA
"1840","1994","Maize silage","West",NA
"1841","1995","Maize silage","West",NA
"1842","1996","Maize silage","West",NA
"1843","1997","Maize silage","West",NA
"1844","1998","Maize silage","West",NA
"1845","1999","Maize silage","West",NA
"1846","2000","Maize silage","West",0.3
"1847","2001","Maize silage","West",0.4
"1848","2002","Maize silage","West",0.4
"1849","2003","Maize silage","West",0.4
"1850","2004","Maize silage","West",0.5
"1851","2005","Maize silage","West",0.5
"1852","2006","Maize silage","West",0.6
"1853","2007","Maize silage","West",0.4
"1854","1991","Fodder rape and kale","West",NA
"1855","1992","Fodder rape and kale","West",NA
"1856","1993","Fodder rape and kale","West",NA
"1857","1994","Fodder rape and kale","West",NA
"1858","1995","Fodder rape and kale","West",NA
"1859","1996","Fodder rape and kale","West",NA
"1860","1997","Fodder rape and kale","West",NA
"1861","1998","Fodder rape and kale","West",NA
"1862","1999","Fodder rape and kale","West",NA
"1863","2000","Fodder rape and kale","West",0.1
"1864","2001","Fodder rape and kale","West",0.1
"1865","2002","Fodder rape and kale","West",0.1
"1866","2003","Fodder rape and kale","West",0.1
"1867","2004","Fodder rape and kale","West",0.1
"1868","2005","Fodder rape and kale","West",0.1
"1869","2006","Fodder rape and kale","West",0.1
"1870","2007","Fodder rape and kale","West",0.1
"1871","1991","Potatoes","West",0.9
"1872","1992","Potatoes","West",1.1
"1873","1993","Potatoes","West",1
"1874","1994","Potatoes","West",1.1
"1875","1995","Potatoes","West",0.9
"1876","1996","Potatoes","West",0.8
"1877","1997","Potatoes","West",0.6
"1878","1998","Potatoes","West",0.6
"1879","1999","Potatoes","West",0.5
"1880","2000","Potatoes","West",0.4
"1881","2001","Potatoes","West",0.4
"1882","2002","Potatoes","West",0.3
"1883","2003","Potatoes","West",0.5
"1884","2004","Potatoes","West",0.4
"1885","2005","Potatoes","West",0.4
"1886","2006","Potatoes","West",0.4
"1887","2007","Potatoes","West",0.3
"1888","1991","Turnips","West",0.7
"1889","1992","Turnips","West",0.7
"1890","1993","Turnips","West",0.6
"1891","1994","Turnips","West",0.8
"1892","1995","Turnips","West",0.7
"1893","1996","Turnips","West",0.6
"1894","1997","Turnips","West",0.7
"1895","1998","Turnips","West",0.5
"1896","1999","Turnips","West",0.2
"1897","2000","Turnips","West",0.2
"1898","2001","Turnips","West",0.2
"1899","2002","Turnips","West",0.1
"1900","2003","Turnips","West",0.1
"1901","2004","Turnips","West",0.1
"1902","2005","Turnips","West",0.1
"1903","2006","Turnips","West",0.2
"1904","2007","Turnips","West",0.1
"1905","1991","Beet","West",0.5
"1906","1992","Beet","West",0.4
"1907","1993","Beet","West",0.6
"1908","1994","Beet","West",0.7
"1909","1995","Beet","West",0.5
"1910","1996","Beet","West",0.5
"1911","1997","Beet","West",0.4
"1912","1998","Beet","West",0.6
"1913","1999","Beet","West",0.3
"1914","2000","Beet","West",0.4
"1915","2001","Beet","West",0.5
"1916","2002","Beet","West",0.4
"1917","2003","Beet","West",0.4
"1918","2004","Beet","West",0.3
"1919","2005","Beet","West",0.4
"1920","2006","Beet","West",0.1
"1921","2007","Beet","West",0.1
"1922","1991","Sugar beet","West",0.3
"1923","1992","Sugar beet","West",0.2
"1924","1993","Sugar beet","West",0.4
"1925","1994","Sugar beet","West",0.5
"1926","1995","Sugar beet","West",0.4
"1927","1996","Sugar beet","West",0.5
"1928","1997","Sugar beet","West",0.3
"1929","1998","Sugar beet","West",0.5
"1930","1999","Sugar beet","West",0.3
"1931","2000","Sugar beet","West",0.3
"1932","2001","Sugar beet","West",0.3
"1933","2002","Sugar beet","West",0.3
"1934","2003","Sugar beet","West",0.3
"1935","2004","Sugar beet","West",0.3
"1936","2005","Sugar beet","West",0.3
"1937","2006","Sugar beet","West",0
"1938","2007","Sugar beet","West",NA
"1939","1991","Fodder beet","West",0.2
"1940","1992","Fodder beet","West",0.2
"1941","1993","Fodder beet","West",0.2
"1942","1994","Fodder beet","West",0.2
"1943","1995","Fodder beet","West",0.1
"1944","1996","Fodder beet","West",0
"1945","1997","Fodder beet","West",0.1
"1946","1998","Fodder beet","West",0.1
"1947","1999","Fodder beet","West",0
"1948","2000","Fodder beet","West",0.1
"1949","2001","Fodder beet","West",0.2
"1950","2002","Fodder beet","West",0.1
"1951","2003","Fodder beet","West",0.1
"1952","2004","Fodder beet","West",0
"1953","2005","Fodder beet","West",0.1
"1954","2006","Fodder beet","West",0.1
"1955","2007","Fodder beet","West",NA
"1956","1991","Kale and field cabbage","West",0.1
"1957","1992","Kale and field cabbage","West",0.2
"1958","1993","Kale and field cabbage","West",0.2
"1959","1994","Kale and field cabbage","West",0.1
"1960","1995","Kale and field cabbage","West",0.1
"1961","1996","Kale and field cabbage","West",0.1
"1962","1997","Kale and field cabbage","West",0.1
"1963","1998","Kale and field cabbage","West",0.1
"1964","1999","Kale and field cabbage","West",0.1
"1965","2000","Kale and field cabbage","West",NA
"1966","2001","Kale and field cabbage","West",NA
"1967","2002","Kale and field cabbage","West",NA
"1968","2003","Kale and field cabbage","West",NA
"1969","2004","Kale and field cabbage","West",NA
"1970","2005","Kale and field cabbage","West",NA
"1971","2006","Kale and field cabbage","West",NA
"1972","2007","Kale and field cabbage","West",NA
"1973","1991","Vegetables for sale","West",0.1
"1974","1992","Vegetables for sale","West",0.1
"1975","1993","Vegetables for sale","West",0.1
"1976","1994","Vegetables for sale","West",0.2
"1977","1995","Vegetables for sale","West",0.1
"1978","1996","Vegetables for sale","West",0.1
"1979","1997","Vegetables for sale","West",0.2
"1980","1998","Vegetables for sale","West",0.3
"1981","1999","Vegetables for sale","West",0.1
"1982","2000","Vegetables for sale","West",0.3
"1983","2001","Vegetables for sale","West",0.3
"1984","2002","Vegetables for sale","West",0.3
"1985","2003","Vegetables for sale","West",0.4
"1986","2004","Vegetables for sale","West",0.3
"1987","2005","Vegetables for sale","West",0.5
"1988","2006","Vegetables for sale","West",0.5
"1989","2007","Vegetables for sale","West",0.4
"1990","1991","Fruit","West",0
"1991","1992","Fruit","West",0
"1992","1993","Fruit","West",0
"1993","1994","Fruit","West",0
"1994","1995","Fruit","West",0
"1995","1996","Fruit","West",0
"1996","1997","Fruit","West",0
"1997","1998","Fruit","West",0
"1998","1999","Fruit","West",0.1
"1999","2000","Fruit","West",0
"2000","2001","Fruit","West",0
"2001","2002","Fruit","West",0
"2002","2003","Fruit","West",0
"2003","2004","Fruit","West",0
"2004","2005","Fruit","West",0.1
"2005","2006","Fruit","West",0.1
"2006","2007","Fruit","West",0.1
"2007","1991","Nurseries, horticulture etc.","West",0
"2008","1992","Nurseries, horticulture etc.","West",0.1
"2009","1993","Nurseries, horticulture etc.","West",0.1
"2010","1994","Nurseries, horticulture etc.","West",0.1
"2011","1995","Nurseries, horticulture etc.","West",0.1
"2012","1996","Nurseries, horticulture etc.","West",0.1
"2013","1997","Nurseries, horticulture etc.","West",0.1
"2014","1998","Nurseries, horticulture etc.","West",0
"2015","1999","Nurseries, horticulture etc.","West",0.1
"2016","2000","Nurseries, horticulture etc.","West",0
"2017","2001","Nurseries, horticulture etc.","West",0
"2018","2002","Nurseries, horticulture etc.","West",0
"2019","2003","Nurseries, horticulture etc.","West",0
"2020","2004","Nurseries, horticulture etc.","West",0
"2021","2005","Nurseries, horticulture etc.","West",0.1
"2022","2006","Nurseries, horticulture etc.","West",0
"2023","2007","Nurseries, horticulture etc.","West",0
"2024","1991","Other crops","West",0.8
"2025","1992","Other crops","West",0.9
"2026","1993","Other crops","West",0.7
"2027","1994","Other crops","West",0.8
"2028","1995","Other crops","West",2
"2029","1996","Other crops","West",0.8
"2030","1997","Other crops","West",2
"2031","1998","Other crops","West",1.4
"2032","1999","Other crops","West",1.4
"2033","2000","Other crops","West",1.5
"2034","2001","Other crops","West",1.6
"2035","2002","Other crops","West",1.3
"2036","2003","Other crops","West",0.9
"2037","2004","Other crops","West",0.5
"2038","2005","Other crops","West",1.1
"2039","2006","Other crops","West",1.7
"2040","2007","Other crops","West",2.1
"2041","1991","Total cereals","West",6.9
"2042","1992","Total cereals","West",6.4
"2043","1993","Total cereals","West",5.8
"2044","1994","Total cereals","West",4.6
"2045","1995","Total cereals","West",5.3
"2046","1996","Total cereals","West",6.1
"2047","1997","Total cereals","West",6.4
"2048","1998","Total cereals","West",5.7
"2049","1999","Total cereals","West",5.6
"2050","2000","Total cereals","West",4.7
"2051","2001","Total cereals","West",5.1
"2052","2002","Total cereals","West",5.1
"2053","2003","Total cereals","West",5.1
"2054","2004","Total cereals","West",4.7
"2055","2005","Total cereals","West",4.1
"2056","2006","Total cereals","West",3.6
"2057","2007","Total cereals","West",3.7
"2058","1991","Total wheat","West",0.2
"2059","1992","Total wheat","West",0.3
"2060","1993","Total wheat","West",0.1
"2061","1994","Total wheat","West",0.1
"2062","1995","Total wheat","West",0
"2063","1996","Total wheat","West",0
"2064","1997","Total wheat","West",0.1
"2065","1998","Total wheat","West",0
"2066","1999","Total wheat","West",0.1
"2067","2000","Total wheat","West",0.1
"2068","2001","Total wheat","West",0.1
"2069","2002","Total wheat","West",0.2
"2070","2003","Total wheat","West",0.2
"2071","2004","Total wheat","West",0.1
"2072","2005","Total wheat","West",0.2
"2073","2006","Total wheat","West",0.3
"2074","2007","Total wheat","West",0.3
"2075","1991","Winter wheat","West",0.1
"2076","1992","Winter wheat","West",0.1
"2077","1993","Winter wheat","West",0
"2078","1994","Winter wheat","West",0.1
"2079","1995","Winter wheat","West",0
"2080","1996","Winter wheat","West",0
"2081","1997","Winter wheat","West",0
"2082","1998","Winter wheat","West",0
"2083","1999","Winter wheat","West",0
"2084","2000","Winter wheat","West",0.1
"2085","2001","Winter wheat","West",0.1
"2086","2002","Winter wheat","West",0.1
"2087","2003","Winter wheat","West",0
"2088","2004","Winter wheat","West",0
"2089","2005","Winter wheat","West",0.1
"2090","2006","Winter wheat","West",0.1
"2091","2007","Winter wheat","West",0.1
"2092","1991","Spring wheat","West",0.1
"2093","1992","Spring wheat","West",0.2
"2094","1993","Spring wheat","West",0.1
"2095","1994","Spring wheat","West",0.1
"2096","1995","Spring wheat","West",0
"2097","1996","Spring wheat","West",0
"2098","1997","Spring wheat","West",0.1
"2099","1998","Spring wheat","West",0
"2100","1999","Spring wheat","West",0.1
"2101","2000","Spring wheat","West",0.1
"2102","2001","Spring wheat","West",0
"2103","2002","Spring wheat","West",0.1
"2104","2003","Spring wheat","West",0.2
"2105","2004","Spring wheat","West",0.1
"2106","2005","Spring wheat","West",0.2
"2107","2006","Spring wheat","West",0.2
"2108","2007","Spring wheat","West",0.2
"2109","1991","Total oats","West",2.1
"2110","1992","Total oats","West",1.9
"2111","1993","Total oats","West",1.6
"2112","1994","Total oats","West",1.3
"2113","1995","Total oats","West",1.5
"2114","1996","Total oats","West",1.4
"2115","1997","Total oats","West",1.4
"2116","1998","Total oats","West",0.9
"2117","1999","Total oats","West",1.2
"2118","2000","Total oats","West",1.1
"2119","2001","Total oats","West",0.9
"2120","2002","Total oats","West",0.8
"2121","2003","Total oats","West",1.2
"2122","2004","Total oats","West",0.8
"2123","2005","Total oats","West",0.8
"2124","2006","Total oats","West",0.9
"2125","2007","Total oats","West",0.6
"2126","1991","Winter oats","West",0.2
"2127","1992","Winter oats","West",0.2
"2128","1993","Winter oats","West",0.1
"2129","1994","Winter oats","West",0.1
"2130","1995","Winter oats","West",0.2
"2131","1996","Winter oats","West",0
"2132","1997","Winter oats","West",0.1
"2133","1998","Winter oats","West",0
"2134","1999","Winter oats","West",0
"2135","2000","Winter oats","West",0.1
