"","Year","Farm.Land.Utilisation","Rural.District","value"
"15633","1926","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15634","1933","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15635","1955","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15636","1960","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15637","1965","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15638","1970","Crops, hay, pasture and rough grazing","Baltinglass No.1",NA
"15639","1975","Crops, hay, pasture and rough grazing","Baltinglass No.1",48215
"15640","1980","Crops, hay, pasture and rough grazing","Baltinglass No.1",47526
"15641","1926","Crops, hay and pasture","Baltinglass No.1",34680
"15642","1933","Crops, hay and pasture","Baltinglass No.1",28670
"15643","1955","Crops, hay and pasture","Baltinglass No.1",28655
"15644","1960","Crops, hay and pasture","Baltinglass No.1",27768
"15645","1965","Crops, hay and pasture","Baltinglass No.1",30061
"15646","1970","Crops, hay and pasture","Baltinglass No.1",31201
"15647","1975","Crops, hay and pasture","Baltinglass No.1",30049
"15648","1980","Crops, hay and pasture","Baltinglass No.1",28003
"15649","1926","Crops including fruit and horticultural","Baltinglass No.1",2987
"15650","1933","Crops including fruit and horticultural","Baltinglass No.1",3117
"15651","1955","Crops including fruit and horticultural","Baltinglass No.1",3611
"15652","1960","Crops including fruit and horticultural","Baltinglass No.1",4237
"15653","1965","Crops including fruit and horticultural","Baltinglass No.1",3429
"15654","1970","Crops including fruit and horticultural","Baltinglass No.1",3412
"15655","1975","Crops including fruit and horticultural","Baltinglass No.1",2614
"15656","1980","Crops including fruit and horticultural","Baltinglass No.1",3158
"15657","1926","Corn crops","Baltinglass No.1",1610
"15658","1933","Corn crops","Baltinglass No.1",1731
"15659","1955","Corn crops","Baltinglass No.1",2254
"15660","1960","Corn crops","Baltinglass No.1",2934
"15661","1965","Corn crops","Baltinglass No.1",2396
"15662","1970","Corn crops","Baltinglass No.1",2590
"15663","1975","Corn crops","Baltinglass No.1",2106
"15664","1980","Corn crops","Baltinglass No.1",2855
"15665","1926","Wheat","Baltinglass No.1",2
"15666","1933","Wheat","Baltinglass No.1",13
"15667","1955","Wheat","Baltinglass No.1",504
"15668","1960","Wheat","Baltinglass No.1",922
"15669","1965","Wheat","Baltinglass No.1",189
"15670","1970","Wheat","Baltinglass No.1",300
"15671","1975","Wheat","Baltinglass No.1",57
"15672","1980","Wheat","Baltinglass No.1",212
"15673","1926","Spring wheat","Baltinglass No.1",NA
"15674","1933","Spring wheat","Baltinglass No.1",NA
"15675","1955","Spring wheat","Baltinglass No.1",NA
"15676","1960","Spring wheat","Baltinglass No.1",NA
"15677","1965","Spring wheat","Baltinglass No.1",NA
"15678","1970","Spring wheat","Baltinglass No.1",NA
"15679","1975","Spring wheat","Baltinglass No.1",NA
"15680","1980","Spring wheat","Baltinglass No.1",120
"15681","1926","Winter wheat","Baltinglass No.1",NA
"15682","1933","Winter wheat","Baltinglass No.1",NA
"15683","1955","Winter wheat","Baltinglass No.1",NA
"15684","1960","Winter wheat","Baltinglass No.1",NA
"15685","1965","Winter wheat","Baltinglass No.1",NA
"15686","1970","Winter wheat","Baltinglass No.1",NA
"15687","1975","Winter wheat","Baltinglass No.1",NA
"15688","1980","Winter wheat","Baltinglass No.1",92
"15689","1926","Oats","Baltinglass No.1",1596
"15690","1933","Oats","Baltinglass No.1",1705
"15691","1955","Oats","Baltinglass No.1",1595
"15692","1960","Oats","Baltinglass No.1",1399
"15693","1965","Oats","Baltinglass No.1",946
"15694","1970","Oats","Baltinglass No.1",467
"15695","1975","Oats","Baltinglass No.1",254
"15696","1980","Oats","Baltinglass No.1",51
"15697","1926","Barley","Baltinglass No.1",12
"15698","1933","Barley","Baltinglass No.1",12
"15699","1955","Barley","Baltinglass No.1",153
"15700","1960","Barley","Baltinglass No.1",611
"15701","1965","Barley","Baltinglass No.1",1251
"15702","1970","Barley","Baltinglass No.1",1813
"15703","1975","Barley","Baltinglass No.1",1767
"15704","1980","Barley","Baltinglass No.1",2590
"15705","1926","Malting barley","Baltinglass No.1",NA
"15706","1933","Malting barley","Baltinglass No.1",NA
"15707","1955","Malting barley","Baltinglass No.1",NA
"15708","1960","Malting barley","Baltinglass No.1",38
"15709","1965","Malting barley","Baltinglass No.1",13
"15710","1970","Malting barley","Baltinglass No.1",47
"15711","1975","Malting barley","Baltinglass No.1",28
"15712","1980","Malting barley","Baltinglass No.1",60
"15713","1926","Other barley","Baltinglass No.1",NA
"15714","1933","Other barley","Baltinglass No.1",NA
"15715","1955","Other barley","Baltinglass No.1",NA
"15716","1960","Other barley","Baltinglass No.1",572
"15717","1965","Other barley","Baltinglass No.1",1238
"15718","1970","Other barley","Baltinglass No.1",1766
"15719","1975","Other barley","Baltinglass No.1",1739
"15720","1980","Other barley","Baltinglass No.1",2530
"15721","1926","Spring barley","Baltinglass No.1",NA
"15722","1933","Spring barley","Baltinglass No.1",NA
"15723","1955","Spring barley","Baltinglass No.1",NA
"15724","1960","Spring barley","Baltinglass No.1",NA
"15725","1965","Spring barley","Baltinglass No.1",NA
"15726","1970","Spring barley","Baltinglass No.1",NA
"15727","1975","Spring barley","Baltinglass No.1",NA
"15728","1980","Spring barley","Baltinglass No.1",2350
"15729","1926","Winter barley","Baltinglass No.1",NA
"15730","1933","Winter barley","Baltinglass No.1",NA
"15731","1955","Winter barley","Baltinglass No.1",NA
"15732","1960","Winter barley","Baltinglass No.1",NA
"15733","1965","Winter barley","Baltinglass No.1",NA
"15734","1970","Winter barley","Baltinglass No.1",NA
"15735","1975","Winter barley","Baltinglass No.1",NA
"15736","1980","Winter barley","Baltinglass No.1",180
"15737","1926","Other corn crops","Baltinglass No.1",1
"15738","1933","Other corn crops","Baltinglass No.1",2
"15739","1955","Other corn crops","Baltinglass No.1",2
"15740","1960","Other corn crops","Baltinglass No.1",2
"15741","1965","Other corn crops","Baltinglass No.1",10
"15742","1970","Other corn crops","Baltinglass No.1",11
"15743","1975","Other corn crops","Baltinglass No.1",29
"15744","1980","Other corn crops","Baltinglass No.1",2
"15745","1926","Root and green crops","Baltinglass No.1",1368
"15746","1933","Root and green crops","Baltinglass No.1",1382
"15747","1955","Root and green crops","Baltinglass No.1",1349
"15748","1960","Root and green crops","Baltinglass No.1",1291
"15749","1965","Root and green crops","Baltinglass No.1",1029
"15750","1970","Root and green crops","Baltinglass No.1",814
"15751","1975","Root and green crops","Baltinglass No.1",505
"15752","1980","Root and green crops","Baltinglass No.1",301
"15753","1926","Potatoes","Baltinglass No.1",656
"15754","1933","Potatoes","Baltinglass No.1",724
"15755","1955","Potatoes","Baltinglass No.1",541
"15756","1960","Potatoes","Baltinglass No.1",429
"15757","1965","Potatoes","Baltinglass No.1",284
"15758","1970","Potatoes","Baltinglass No.1",206
"15759","1975","Potatoes","Baltinglass No.1",151
"15760","1980","Potatoes","Baltinglass No.1",100
"15761","1926","Turnips","Baltinglass No.1",485
"15762","1933","Turnips","Baltinglass No.1",469
"15763","1955","Turnips","Baltinglass No.1",420
"15764","1960","Turnips","Baltinglass No.1",347
"15765","1965","Turnips","Baltinglass No.1",445
"15766","1970","Turnips","Baltinglass No.1",405
"15767","1975","Turnips","Baltinglass No.1",211
"15768","1980","Turnips","Baltinglass No.1",107
"15769","1926","Sugar beet","Baltinglass No.1",60
"15770","1933","Sugar beet","Baltinglass No.1",17
"15771","1955","Sugar beet","Baltinglass No.1",115
"15772","1960","Sugar beet","Baltinglass No.1",118
"15773","1965","Sugar beet","Baltinglass No.1",68
"15774","1970","Sugar beet","Baltinglass No.1",86
"15775","1975","Sugar beet","Baltinglass No.1",63
"15776","1980","Sugar beet","Baltinglass No.1",57
"15777","1926","Other root and green crops","Baltinglass No.1",167
"15778","1933","Other root and green crops","Baltinglass No.1",172
"15779","1955","Other root and green crops","Baltinglass No.1",274
"15780","1960","Other root and green crops","Baltinglass No.1",396
"15781","1965","Other root and green crops","Baltinglass No.1",231
"15782","1970","Other root and green crops","Baltinglass No.1",118
"15783","1975","Other root and green crops","Baltinglass No.1",81
"15784","1980","Other root and green crops","Baltinglass No.1",37
"15785","1926","Fruit and horticulture","Baltinglass No.1",9
"15786","1933","Fruit and horticulture","Baltinglass No.1",4
"15787","1955","Fruit and horticulture","Baltinglass No.1",8
"15788","1960","Fruit and horticulture","Baltinglass No.1",13
"15789","1965","Fruit and horticulture","Baltinglass No.1",5
"15790","1970","Fruit and horticulture","Baltinglass No.1",8
"15791","1975","Fruit and horticulture","Baltinglass No.1",2
"15792","1980","Fruit and horticulture","Baltinglass No.1",2
"15793","1926","Apples","Baltinglass No.1",NA
"15794","1933","Apples","Baltinglass No.1",NA
"15795","1955","Apples","Baltinglass No.1",NA
"15796","1960","Apples","Baltinglass No.1",NA
"15797","1965","Apples","Baltinglass No.1",3
"15798","1970","Apples","Baltinglass No.1",2
"15799","1975","Apples","Baltinglass No.1",1
"15800","1980","Apples","Baltinglass No.1",0
"15801","1926","Fruit excluding apples","Baltinglass No.1",NA
"15802","1933","Fruit excluding apples","Baltinglass No.1",NA
"15803","1955","Fruit excluding apples","Baltinglass No.1",NA
"15804","1960","Fruit excluding apples","Baltinglass No.1",NA
"15805","1965","Fruit excluding apples","Baltinglass No.1",2
"15806","1970","Fruit excluding apples","Baltinglass No.1",1
"15807","1975","Fruit excluding apples","Baltinglass No.1",2
"15808","1980","Fruit excluding apples","Baltinglass No.1",1
"15809","1926","Horticultural bulbs, flowers and bushes","Baltinglass No.1",NA
"15810","1933","Horticultural bulbs, flowers and bushes","Baltinglass No.1",NA
"15811","1955","Horticultural bulbs, flowers and bushes","Baltinglass No.1",NA
"15812","1960","Horticultural bulbs, flowers and bushes","Baltinglass No.1",4
"15813","1965","Horticultural bulbs, flowers and bushes","Baltinglass No.1",0
"15814","1970","Horticultural bulbs, flowers and bushes","Baltinglass No.1",5
"15815","1975","Horticultural bulbs, flowers and bushes","Baltinglass No.1",0
"15816","1980","Horticultural bulbs, flowers and bushes","Baltinglass No.1",1
"15817","1926","Hay","Baltinglass No.1",7440
"15818","1933","Hay","Baltinglass No.1",6944
"15819","1955","Hay","Baltinglass No.1",5758
"15820","1960","Hay","Baltinglass No.1",5333
"15821","1965","Hay","Baltinglass No.1",4867
"15822","1970","Hay","Baltinglass No.1",5769
"15823","1975","Hay","Baltinglass No.1",7158
"15824","1980","Hay","Baltinglass No.1",7489
"15825","1926","Rye grass for seed","Baltinglass No.1",NA
"15826","1933","Rye grass for seed","Baltinglass No.1",NA
"15827","1955","Rye grass for seed","Baltinglass No.1",NA
"15828","1960","Rye grass for seed","Baltinglass No.1",6
"15829","1965","Rye grass for seed","Baltinglass No.1",41
"15830","1970","Rye grass for seed","Baltinglass No.1",0
"15831","1975","Rye grass for seed","Baltinglass No.1",0
"15832","1980","Rye grass for seed","Baltinglass No.1",0
"15833","1926","First to fourth years hay","Baltinglass No.1",NA
"15834","1933","First to fourth years hay","Baltinglass No.1",NA
"15835","1955","First to fourth years hay","Baltinglass No.1",NA
"15836","1960","First to fourth years hay","Baltinglass No.1",NA
"15837","1965","First to fourth years hay","Baltinglass No.1",NA
"15838","1970","First to fourth years hay","Baltinglass No.1",NA
"15839","1975","First to fourth years hay","Baltinglass No.1",3065
"15840","1980","First to fourth years hay","Baltinglass No.1",3319
"15841","1926","Permanent meadow","Baltinglass No.1",NA
"15842","1933","Permanent meadow","Baltinglass No.1",NA
"15843","1955","Permanent meadow","Baltinglass No.1",NA
"15844","1960","Permanent meadow","Baltinglass No.1",NA
"15845","1965","Permanent meadow","Baltinglass No.1",NA
"15846","1970","Permanent meadow","Baltinglass No.1",NA
"15847","1975","Permanent meadow","Baltinglass No.1",4093
"15848","1980","Permanent meadow","Baltinglass No.1",4170
"15849","1926","Pasture","Baltinglass No.1",24253
"15850","1933","Pasture","Baltinglass No.1",18609
"15851","1955","Pasture","Baltinglass No.1",19286
"15852","1960","Pasture","Baltinglass No.1",18197
"15853","1965","Pasture","Baltinglass No.1",21764
"15854","1970","Pasture","Baltinglass No.1",22019
"15855","1975","Pasture","Baltinglass No.1",20277
"15856","1980","Pasture","Baltinglass No.1",17356
"15857","1926","Rough grazing in use","Baltinglass No.1",NA
"15858","1933","Rough grazing in use","Baltinglass No.1",NA
"15859","1955","Rough grazing in use","Baltinglass No.1",NA
"15860","1960","Rough grazing in use","Baltinglass No.1",NA
"15861","1965","Rough grazing in use","Baltinglass No.1",NA
"15862","1970","Rough grazing in use","Baltinglass No.1",NA
"15863","1975","Rough grazing in use","Baltinglass No.1",18166
"15864","1980","Rough grazing in use","Baltinglass No.1",19523
"15865","1926","Other land","Baltinglass No.1",NA
"15866","1933","Other land","Baltinglass No.1",NA
"15867","1955","Other land","Baltinglass No.1",NA
"15868","1960","Other land","Baltinglass No.1",NA
"15869","1965","Other land","Baltinglass No.1",NA
"15870","1970","Other land","Baltinglass No.1",NA
"15871","1975","Other land","Baltinglass No.1",14497
"15872","1980","Other land","Baltinglass No.1",15187
"15873","1926","Total Area","Rathdown No.2",13963
"15874","1933","Total Area","Rathdown No.2",13963
"15875","1955","Total Area","Rathdown No.2",13963
"15876","1960","Total Area","Rathdown No.2",14162
"15877","1965","Total Area","Rathdown No.2",13994
"15878","1970","Total Area","Rathdown No.2",13994
"15879","1975","Total Area","Rathdown No.2",13994
"15880","1980","Total Area","Rathdown No.2",13994
"15881","1926","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15882","1933","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15883","1955","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15884","1960","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15885","1965","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15886","1970","Crops, hay, pasture and rough grazing","Rathdown No.2",NA
"15887","1975","Crops, hay, pasture and rough grazing","Rathdown No.2",7214
"15888","1980","Crops, hay, pasture and rough grazing","Rathdown No.2",6812
"15889","1926","Crops, hay and pasture","Rathdown No.2",7297
"15890","1933","Crops, hay and pasture","Rathdown No.2",5072
"15891","1955","Crops, hay and pasture","Rathdown No.2",5561
"15892","1960","Crops, hay and pasture","Rathdown No.2",4729
"15893","1965","Crops, hay and pasture","Rathdown No.2",6115
"15894","1970","Crops, hay and pasture","Rathdown No.2",5077
"15895","1975","Crops, hay and pasture","Rathdown No.2",4832
"15896","1980","Crops, hay and pasture","Rathdown No.2",4741
"15897","1926","Crops including fruit and horticultural","Rathdown No.2",762
"15898","1933","Crops including fruit and horticultural","Rathdown No.2",662
"15899","1955","Crops including fruit and horticultural","Rathdown No.2",993
"15900","1960","Crops including fruit and horticultural","Rathdown No.2",1040
"15901","1965","Crops including fruit and horticultural","Rathdown No.2",891
"15902","1970","Crops including fruit and horticultural","Rathdown No.2",810
"15903","1975","Crops including fruit and horticultural","Rathdown No.2",671
"15904","1980","Crops including fruit and horticultural","Rathdown No.2",910
"15905","1926","Corn crops","Rathdown No.2",325
"15906","1933","Corn crops","Rathdown No.2",317
"15907","1955","Corn crops","Rathdown No.2",635
"15908","1960","Corn crops","Rathdown No.2",698
"15909","1965","Corn crops","Rathdown No.2",549
"15910","1970","Corn crops","Rathdown No.2",491
"15911","1975","Corn crops","Rathdown No.2",494
"15912","1980","Corn crops","Rathdown No.2",751
"15913","1926","Wheat","Rathdown No.2",4
