"","Statistic","Year","Type.of.Cow","Size.of.Herd","value"
"1826","Number of Cattle (Thousand)","1995","Cows","200-299",NA
"1827","Number of Farms with Cattle (Thousand)","1997","Cows","200-299",NA
"1828","Number of Cattle (Thousand)","1997","Cows","200-299",NA
"1829","Number of Farms with Cattle (Thousand)","1999","Cows","200-299",NA
"1830","Number of Cattle (Thousand)","1999","Cows","200-299",NA
"1831","Number of Farms with Cattle (Thousand)","2001","Cows","200-299",NA
"1832","Number of Cattle (Thousand)","2001","Cows","200-299",NA
"1833","Number of Farms with Cattle (Thousand)","2003","Cows","200-299",NA
"1834","Number of Cattle (Thousand)","2003","Cows","200-299",NA
"1835","Number of Farms with Cattle (Thousand)","2005","Cows","200-299",NA
"1836","Number of Cattle (Thousand)","2005","Cows","200-299",NA
"1837","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","200-299",NA
"1838","Number of Cattle (Thousand)","1973","Dairy Cows","200-299",NA
"1839","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","200-299",NA
"1840","Number of Cattle (Thousand)","1975","Dairy Cows","200-299",NA
"1841","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","200-299",NA
"1842","Number of Cattle (Thousand)","1977","Dairy Cows","200-299",NA
"1843","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","200-299",NA
"1844","Number of Cattle (Thousand)","1979","Dairy Cows","200-299",NA
"1845","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","200-299",NA
"1846","Number of Cattle (Thousand)","1981","Dairy Cows","200-299",NA
"1847","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","200-299",NA
"1848","Number of Cattle (Thousand)","1983","Dairy Cows","200-299",NA
"1849","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","200-299",NA
"1850","Number of Cattle (Thousand)","1985","Dairy Cows","200-299",NA
"1851","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","200-299",NA
"1852","Number of Cattle (Thousand)","1987","Dairy Cows","200-299",NA
"1853","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","200-299",NA
"1854","Number of Cattle (Thousand)","1989","Dairy Cows","200-299",NA
"1855","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","200-299",NA
"1856","Number of Cattle (Thousand)","1991","Dairy Cows","200-299",NA
"1857","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","200-299",NA
"1858","Number of Cattle (Thousand)","1993","Dairy Cows","200-299",NA
"1859","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","200-299",NA
"1860","Number of Cattle (Thousand)","1995","Dairy Cows","200-299",NA
"1861","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","200-299",NA
"1862","Number of Cattle (Thousand)","1997","Dairy Cows","200-299",NA
"1863","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","200-299",NA
"1864","Number of Cattle (Thousand)","1999","Dairy Cows","200-299",NA
"1865","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","200-299",NA
"1866","Number of Cattle (Thousand)","2001","Dairy Cows","200-299",NA
"1867","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","200-299",NA
"1868","Number of Cattle (Thousand)","2003","Dairy Cows","200-299",NA
"1869","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","200-299",NA
"1870","Number of Cattle (Thousand)","2005","Dairy Cows","200-299",NA
"1871","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","200-299",NA
"1872","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","200-299",NA
"1873","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","200-299",NA
"1874","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","200-299",NA
"1875","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","200-299",NA
"1876","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","200-299",NA
"1877","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","200-299",NA
"1878","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","200-299",NA
"1879","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","200-299",NA
"1880","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","200-299",NA
"1881","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","200-299",NA
"1882","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","200-299",NA
"1883","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","200-299",NA
"1884","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","200-299",NA
"1885","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","200-299",NA
"1886","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","200-299",NA
"1887","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","200-299",NA
"1888","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","200-299",NA
"1889","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","200-299",NA
"1890","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","200-299",NA
"1891","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","200-299",NA
"1892","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","200-299",NA
"1893","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","200-299",NA
"1894","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","200-299",NA
"1895","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","200-299",NA
"1896","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","200-299",NA
"1897","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","200-299",NA
"1898","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","200-299",NA
"1899","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","200-299",NA
"1900","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","200-299",NA
"1901","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","200-299",NA
"1902","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","200-299",NA
"1903","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","200-299",NA
"1904","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","200-299",NA
"1905","Number of Farms with Cattle (Thousand)","1973","Cattle","300+",0.4
"1906","Number of Cattle (Thousand)","1973","Cattle","300+",205.2
"1907","Number of Farms with Cattle (Thousand)","1975","Cattle","300+",0.4
"1908","Number of Cattle (Thousand)","1975","Cattle","300+",184.6
"1909","Number of Farms with Cattle (Thousand)","1977","Cattle","300+",0.3
"1910","Number of Cattle (Thousand)","1977","Cattle","300+",165.2
"1911","Number of Farms with Cattle (Thousand)","1979","Cattle","300+",0.4
"1912","Number of Cattle (Thousand)","1979","Cattle","300+",181.6
"1913","Number of Farms with Cattle (Thousand)","1981","Cattle","300+",0.4
"1914","Number of Cattle (Thousand)","1981","Cattle","300+",178.1
"1915","Number of Farms with Cattle (Thousand)","1983","Cattle","300+",0.4
"1916","Number of Cattle (Thousand)","1983","Cattle","300+",189.2
"1917","Number of Farms with Cattle (Thousand)","1985","Cattle","300+",0.4
"1918","Number of Cattle (Thousand)","1985","Cattle","300+",187.9
"1919","Number of Farms with Cattle (Thousand)","1987","Cattle","300+",0.4
"1920","Number of Cattle (Thousand)","1987","Cattle","300+",173.2
"1921","Number of Farms with Cattle (Thousand)","1989","Cattle","300+",0.4
"1922","Number of Cattle (Thousand)","1989","Cattle","300+",215.9
"1923","Number of Farms with Cattle (Thousand)","1991","Cattle","300+",0.6
"1924","Number of Cattle (Thousand)","1991","Cattle","300+",265.6
"1925","Number of Farms with Cattle (Thousand)","1993","Cattle","300+",0.6
"1926","Number of Cattle (Thousand)","1993","Cattle","300+",304.1
"1927","Number of Farms with Cattle (Thousand)","1995","Cattle","300+",0.8
"1928","Number of Cattle (Thousand)","1995","Cattle","300+",353.3
"1929","Number of Farms with Cattle (Thousand)","1997","Cattle","300+",1
"1930","Number of Cattle (Thousand)","1997","Cattle","300+",411.5
"1931","Number of Farms with Cattle (Thousand)","1999","Cattle","300+",0.8
"1932","Number of Cattle (Thousand)","1999","Cattle","300+",357.1
"1933","Number of Farms with Cattle (Thousand)","2001","Cattle","300+",1.1
"1934","Number of Cattle (Thousand)","2001","Cattle","300+",413.7
"1935","Number of Farms with Cattle (Thousand)","2003","Cattle","300+",0.9
"1936","Number of Cattle (Thousand)","2003","Cattle","300+",377.5
"1937","Number of Farms with Cattle (Thousand)","2005","Cattle","300+",1.3
"1938","Number of Cattle (Thousand)","2005","Cattle","300+",491.9
"1939","Number of Farms with Cattle (Thousand)","1973","Cows","300+",NA
"1940","Number of Cattle (Thousand)","1973","Cows","300+",NA
"1941","Number of Farms with Cattle (Thousand)","1975","Cows","300+",NA
"1942","Number of Cattle (Thousand)","1975","Cows","300+",NA
"1943","Number of Farms with Cattle (Thousand)","1977","Cows","300+",NA
"1944","Number of Cattle (Thousand)","1977","Cows","300+",NA
"1945","Number of Farms with Cattle (Thousand)","1979","Cows","300+",NA
"1946","Number of Cattle (Thousand)","1979","Cows","300+",NA
"1947","Number of Farms with Cattle (Thousand)","1981","Cows","300+",NA
"1948","Number of Cattle (Thousand)","1981","Cows","300+",NA
"1949","Number of Farms with Cattle (Thousand)","1983","Cows","300+",NA
"1950","Number of Cattle (Thousand)","1983","Cows","300+",NA
"1951","Number of Farms with Cattle (Thousand)","1985","Cows","300+",NA
"1952","Number of Cattle (Thousand)","1985","Cows","300+",NA
"1953","Number of Farms with Cattle (Thousand)","1987","Cows","300+",NA
"1954","Number of Cattle (Thousand)","1987","Cows","300+",NA
"1955","Number of Farms with Cattle (Thousand)","1989","Cows","300+",NA
"1956","Number of Cattle (Thousand)","1989","Cows","300+",NA
"1957","Number of Farms with Cattle (Thousand)","1991","Cows","300+",NA
"1958","Number of Cattle (Thousand)","1991","Cows","300+",NA
"1959","Number of Farms with Cattle (Thousand)","1993","Cows","300+",NA
"1960","Number of Cattle (Thousand)","1993","Cows","300+",NA
"1961","Number of Farms with Cattle (Thousand)","1995","Cows","300+",NA
"1962","Number of Cattle (Thousand)","1995","Cows","300+",NA
"1963","Number of Farms with Cattle (Thousand)","1997","Cows","300+",NA
"1964","Number of Cattle (Thousand)","1997","Cows","300+",NA
"1965","Number of Farms with Cattle (Thousand)","1999","Cows","300+",NA
"1966","Number of Cattle (Thousand)","1999","Cows","300+",NA
"1967","Number of Farms with Cattle (Thousand)","2001","Cows","300+",NA
"1968","Number of Cattle (Thousand)","2001","Cows","300+",NA
"1969","Number of Farms with Cattle (Thousand)","2003","Cows","300+",NA
"1970","Number of Cattle (Thousand)","2003","Cows","300+",NA
"1971","Number of Farms with Cattle (Thousand)","2005","Cows","300+",NA
"1972","Number of Cattle (Thousand)","2005","Cows","300+",NA
"1973","Number of Farms with Cattle (Thousand)","1973","Dairy Cows","300+",NA
"1974","Number of Cattle (Thousand)","1973","Dairy Cows","300+",NA
"1975","Number of Farms with Cattle (Thousand)","1975","Dairy Cows","300+",NA
"1976","Number of Cattle (Thousand)","1975","Dairy Cows","300+",NA
"1977","Number of Farms with Cattle (Thousand)","1977","Dairy Cows","300+",NA
"1978","Number of Cattle (Thousand)","1977","Dairy Cows","300+",NA
"1979","Number of Farms with Cattle (Thousand)","1979","Dairy Cows","300+",NA
"1980","Number of Cattle (Thousand)","1979","Dairy Cows","300+",NA
"1981","Number of Farms with Cattle (Thousand)","1981","Dairy Cows","300+",NA
"1982","Number of Cattle (Thousand)","1981","Dairy Cows","300+",NA
"1983","Number of Farms with Cattle (Thousand)","1983","Dairy Cows","300+",NA
"1984","Number of Cattle (Thousand)","1983","Dairy Cows","300+",NA
"1985","Number of Farms with Cattle (Thousand)","1985","Dairy Cows","300+",NA
"1986","Number of Cattle (Thousand)","1985","Dairy Cows","300+",NA
"1987","Number of Farms with Cattle (Thousand)","1987","Dairy Cows","300+",NA
"1988","Number of Cattle (Thousand)","1987","Dairy Cows","300+",NA
"1989","Number of Farms with Cattle (Thousand)","1989","Dairy Cows","300+",NA
"1990","Number of Cattle (Thousand)","1989","Dairy Cows","300+",NA
"1991","Number of Farms with Cattle (Thousand)","1991","Dairy Cows","300+",NA
"1992","Number of Cattle (Thousand)","1991","Dairy Cows","300+",NA
"1993","Number of Farms with Cattle (Thousand)","1993","Dairy Cows","300+",NA
"1994","Number of Cattle (Thousand)","1993","Dairy Cows","300+",NA
"1995","Number of Farms with Cattle (Thousand)","1995","Dairy Cows","300+",NA
"1996","Number of Cattle (Thousand)","1995","Dairy Cows","300+",NA
"1997","Number of Farms with Cattle (Thousand)","1997","Dairy Cows","300+",NA
"1998","Number of Cattle (Thousand)","1997","Dairy Cows","300+",NA
"1999","Number of Farms with Cattle (Thousand)","1999","Dairy Cows","300+",NA
"2000","Number of Cattle (Thousand)","1999","Dairy Cows","300+",NA
"2001","Number of Farms with Cattle (Thousand)","2001","Dairy Cows","300+",NA
"2002","Number of Cattle (Thousand)","2001","Dairy Cows","300+",NA
"2003","Number of Farms with Cattle (Thousand)","2003","Dairy Cows","300+",NA
"2004","Number of Cattle (Thousand)","2003","Dairy Cows","300+",NA
"2005","Number of Farms with Cattle (Thousand)","2005","Dairy Cows","300+",NA
"2006","Number of Cattle (Thousand)","2005","Dairy Cows","300+",NA
"2007","Number of Farms with Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","300+",NA
"2008","Number of Cattle (Thousand)","1973","Cows (Other than Dairy Cows)","300+",NA
"2009","Number of Farms with Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","300+",NA
"2010","Number of Cattle (Thousand)","1975","Cows (Other than Dairy Cows)","300+",NA
"2011","Number of Farms with Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","300+",NA
"2012","Number of Cattle (Thousand)","1977","Cows (Other than Dairy Cows)","300+",NA
"2013","Number of Farms with Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","300+",NA
"2014","Number of Cattle (Thousand)","1979","Cows (Other than Dairy Cows)","300+",NA
"2015","Number of Farms with Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","300+",NA
"2016","Number of Cattle (Thousand)","1981","Cows (Other than Dairy Cows)","300+",NA
"2017","Number of Farms with Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","300+",NA
"2018","Number of Cattle (Thousand)","1983","Cows (Other than Dairy Cows)","300+",NA
"2019","Number of Farms with Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","300+",NA
"2020","Number of Cattle (Thousand)","1985","Cows (Other than Dairy Cows)","300+",NA
"2021","Number of Farms with Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","300+",NA
"2022","Number of Cattle (Thousand)","1987","Cows (Other than Dairy Cows)","300+",NA
"2023","Number of Farms with Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","300+",NA
"2024","Number of Cattle (Thousand)","1989","Cows (Other than Dairy Cows)","300+",NA
"2025","Number of Farms with Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","300+",NA
"2026","Number of Cattle (Thousand)","1991","Cows (Other than Dairy Cows)","300+",NA
"2027","Number of Farms with Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","300+",NA
"2028","Number of Cattle (Thousand)","1993","Cows (Other than Dairy Cows)","300+",NA
"2029","Number of Farms with Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","300+",NA
"2030","Number of Cattle (Thousand)","1995","Cows (Other than Dairy Cows)","300+",NA
"2031","Number of Farms with Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","300+",NA
"2032","Number of Cattle (Thousand)","1997","Cows (Other than Dairy Cows)","300+",NA
"2033","Number of Farms with Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","300+",NA
"2034","Number of Cattle (Thousand)","1999","Cows (Other than Dairy Cows)","300+",NA
"2035","Number of Farms with Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","300+",NA
"2036","Number of Cattle (Thousand)","2001","Cows (Other than Dairy Cows)","300+",NA
"2037","Number of Farms with Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","300+",NA
"2038","Number of Cattle (Thousand)","2003","Cows (Other than Dairy Cows)","300+",NA
"2039","Number of Farms with Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","300+",NA
"2040","Number of Cattle (Thousand)","2005","Cows (Other than Dairy Cows)","300+",NA
